18100,AMZN,108.73,176.76,68.03,2019-01-31T21:00:00Z,2019-01-30T07:05:00Z
18100,SBER,1.63,5.88,4.25,2019-01-31T11:45:00Z,2019-01-30T15:15:00Z
18100,AAPL,-0.21,12.74,12.95,2019-01-31T16:55:00Z,2019-01-30T07:00:00Z
19272,AMZN,18.93,176.76,157.83,2019-01-31T21:00:00Z,2019-01-30T07:05:00Z
19272,SBER,2.18,5.88,3.70,2019-01-31T11:45:00Z,2019-01-30T15:15:00Z
19272,AAPL,1.01,12.74,11.73,2019-01-31T16:55:00Z,2019-01-30T07:00:00Z
1198,AAPL,3.89,12.74,8.85,2019-01-31T16:55:00Z,2019-01-30T07:00:00Z
1198,SBER,-0.44,5.88,6.32,2019-01-31T11:45:00Z,2019-01-30T15:15:00Z
1198,AMZN,53.03,176.76,123.73,2019-01-31T21:00:00Z,2019-01-30T07:05:00Z
12822,AAPL,1.45,12.74,11.29,2019-01-31T16:55:00Z,2019-01-30T07:00:00Z
12822,SBER,2.25,5.88,3.63,2019-01-31T11:45:00Z,2019-01-30T15:15:00Z
12822,AMZN,50.08,176.76,126.68,2019-01-31T21:00:00Z,2019-01-30T07:05:00Z
18367,AMZN,14.00,176.76,162.76,2019-01-31T21:00:00Z,2019-01-30T07:05:00Z
18367,SBER,2.84,5.88,3.04,2019-01-31T11:45:00Z,2019-01-30T15:15:00Z
18367,AAPL,3.29,12.74,9.45,2019-01-31T16:55:00Z,2019-01-30T07:00:00Z
1465,SBER,2.98,5.88,2.90,2019-01-31T11:45:00Z,2019-01-30T15:15:00Z
1465,AAPL,3.04,12.74,9.70,2019-01-31T16:55:00Z,2019-01-30T07:00:00Z
1465,AMZN,19.87,176.76,156.89,2019-01-31T21:00:00Z,2019-01-30T07:05:00Z
24731,SBER,2.38,5.88,3.50,2019-01-31T11:45:00Z,2019-01-30T15:15:00Z
24731,AMZN,45.33,176.76,131.43,2019-01-31T21:00:00Z,2019-01-30T07:05:00Z
